,name,m_or_f,namelen
209,saddam,m,6
211,jai singh,m,9
212,sunil kumar,m,11
213,ram kishan,m,10
214,arun,m,4
215,virender,m,8
216,bishun,m,6
217,pritam singh,m,12
219,mohd kausar,m,11
220,harman singh,m,12
221,rajbir,m,6
222,vinod lal,m,9
223,chander shaker,m,14
225,ram ji,m,6
227,mohammad ali,m,12
228,ashok kumar so,m,14
229,ravinder bacchi,m,15
230,guman singh basyal,m,18
231,amardeep,m,8
232,bharat,m,6
233,azaz,m,4
234,raja kumar,m,10
235,parveen,m,7
236,mahabir prasad,m,14
237,kartik kaku,m,11
238,shubham yadav,m,13
239,madan,m,5
240,rashid,m,6
242,pawan kumar,m,11
244,deep,m,4
245,dharmbir,m,8
246,rishi kakdia,m,12
247,kunal kannu,m,11
248,arman ansari,m,12
249,avinsh,m,6
250,karan,m,5
251,sagar,m,5
252,nikhil,m,6
253,raman,m,5
254,sujen manjhi,m,12
255,abhijeet,m,8
256,anshu,m,5
257,sahil,m,5
258,aditya som,m,10
259,gaurav,m,6
260,sunil,m,5
261,ravi kumar,m,10
262,shankar kumar,m,13
263,vishvash,m,8
264,sonia,m,5
265,kayamuddin,m,10
266,nandkishore karpenter,m,21
267,lala bhai,m,9
269,mahender kumar,m,14
270,mohd afzal,m,10
271,satender,m,8
273,mobin,m,5
274,khokan sarkar,m,13
276,vipol,m,5
277,mohd miraj ansari,m,17
278,rajmani,m,7
279,harbir singh,m,12
281,farid,m,5
282,yuvraj kumar,m,12
284,satish kumar,m,12
285,gappu,m,5
286,nazeem,m,6
287,aamir,m,5
288,vivek sharma,m,12
289,gutam,m,5
290,prakul,m,6
291,birjesh,m,7
292,sahil tigga,m,11
294,pavan sharma,m,12
296,sajan,m,5
297,molu,m,4
299,naval kishore,m,13
300,ajahar,m,6
301,sanjeev,m,7
302,raman ralhan,m,12
303,prem chand,m,10
304,sandhaya,m,8
305,ashish,m,6
306,jang bahadur,m,12
309,md. raju,m,8
310,satpal,m,6
312,suraj singh,m,11
313,ashfaq,m,6
314,shaid,m,5
315,vikas gupta,m,11
317,hari ram,m,8
318,manoj kumar,m,11
320,mehraj,m,6
321,chetan,m,6
322,bhanwar lal,m,11
323,sanavvar,m,8
324,mustaq,m,6
325,ramkaran verma,m,14
326,mukhtyar hussain,m,16
327,vakil,m,5
328,bilal malik,m,11
329,radheshyam sen,m,14
330,mukesh,m,6
331,sunny,m,5
332,jitender rajak,m,14
334,raju singh,m,10
335,sobit saini,m,11
336,inder dutt,m,10
337,shakir,m,6
338,haseen ahmed,m,12
339,kiran,m,5
340,gulam rashul,m,12
342,ayush,m,5
343,sehboob,m,7
344,sanjay kumar so,m,15
346,amit kumar yadav,m,16
350,abhinav chaudhary,m,17
351,devender singh so shrinath ro kh. no. 721 utsa,m,46
352,azruddin,m,8
353,sanjay kumar pappu,m,18
355,vibhuti shyamal,m,15
356,inderjeet,m,9
357,golu,m,4
358,lokesh,m,6
359,neeraj kandari,m,14
360,mukul verma,m,11
362,jai kishan,m,10
363,munna lal jain,m,14
365,shishram,m,8
366,parveen aggarwal,m,16
367,pramod paswan,m,13
368,ajit,m,4
369,deelip,m,6
370,aaftaab husan,m,13
371,monu,m,4
373,sawan gupta,m,11
374,munna lal,m,9
376,sarvesh kumar pandey,m,20
377,avdhesh,m,7
378,sohnal kumar singh,m,18
379,najar hussan,m,12
380,raman rancho,m,12
381,lavtar singh,m,12
383,harprasad sahu,m,14
384,vikas kumar,m,11
385,ashsish kumar,m,13
386,rajesh singh,m,12
387,ashu,m,4
388,manjeet,m,7
389,jaipal,m,6
390,jalil ansari,m,12
392,kasim,m,5
394,manish kumar saket,m,18
395,udham,m,5
397,ravinder,m,8
398,narayan gadri,m,13
399,lakshman nath,m,13
400,sachin kumar,m,12
401,shahid,m,6
403,ishtkar,m,7
404,harish chand,m,12
405,puneet jain,m,11
406,rashab,m,6
409,tarachand pappu,m,15
411,puran singh rastogi,m,19
412,narender,m,8
413,lal babu prasad,m,15
414,ankush,m,6
415,lal chand,m,9
416,pankaj,m,6
417,kiran pal,m,9
418,ranveer singh,m,13
419,anwar,m,5
421,gorav,m,5
422,raj kumar raju,m,14
423,laxmikant kaka,m,14
424,narayan parsad bhushal,m,22
425,abbas,m,5
426,avinash,m,7
427,ravish,m,6
428,hukum chand,m,11
431,mahesh chand tiwari,m,19
433,gajender kumar,m,14
434,vashudev,m,8
435,bhanwar singh,m,13
436,surender sain,m,13
437,akshay kumar,m,12
438,goldy,m,5
440,devender,m,8
441,veer,m,4
442,ankush shera,m,12
443,mohd. amir,m,10
444,babloo,m,6
447,guddu rai,m,9
448,yogesh rawat,m,12
449,amarapal,m,8
450,rajesh agarwal,m,14
451,tara singh rawat,m,16
452,momin,m,5
453,parnav kumar,m,12
454,parminder,m,9
455,mustafa,m,7
456,ajay haldar,m,11
457,dharmender,m,10
458,gaurav sethi,m,12
461,abhimanyu,m,9
462,pawan kumar sonu,m,16
464,raju garg,m,9
465,samir mishra,m,12
466,ram dayal,m,9
467,jagdish chand,m,13
468,kanheya,m,7
469,mushrraf,m,8
470,prem,m,4
471,pardeep kumar,m,13
472,nithyanandham,m,13
473,deepak goyal,m,12
475,gopal,m,5
476,mahavir,m,7
479,arun kumar,m,10
480,ashok sharma,m,12
481,veer singh,m,10
483,laxmi narayan,m,13
484,vikram dubey,m,12
485,rima,m,4
486,ramjan khan,m,11
489,alok tiwari,m,11
490,vude bhadur,m,11
491,prem singh bidla,m,16
492,chetanya swaroop,m,16
493,pinkoo guddu,m,12
495,henkhochon haokip,m,17
496,gaurav shankar,m,14
497,shsi kant,m,9
499,amrudin,m,7
500,shahnawaz,m,9
501,brij raj,m,8
502,aman kumar,m,10
503,vijay kumar,m,11
504,baban suresh,m,12
505,subham kumar yadav,m,18
506,sapna,m,5
507,surendra,m,8
508,naveen,m,6
509,ram niwas,m,9
510,amar,m,4
511,nanhu khan,m,10
512,raja ram,m,8
513,rishab,m,6
515,jag mohan,m,9
516,ritu raj kumar,m,14
519,rajbir ahlawat,m,14
520,mohd faijan,m,11
522,mohd. firoz,m,11
524,parbhat,m,7
525,aamod pramod,m,12
527,nanagram,m,8
528,gautam,m,6
529,govind,m,6
530,pramjot singh,m,13
531,abhinav vashit,m,14
532,usha,m,4
533,vivek chabra,m,12
534,nootan prakash yadav,m,20
535,surender,m,8
536,chhotelal,m,9
537,abdul kadir,m,11
539,bablu,m,5
540,rajender kaku,m,13
541,ram ldaike,m,10
542,raju,m,4
543,yasib,m,5
544,sone lal shah,m,13
545,chhotu harijan,m,14
546,sushant,m,7
547,om prakash,m,10
548,manish kumar,m,12
549,adersen,m,7
550,mukesh kumar yogi,m,17
551,gautam kumar,m,12
552,hardeep hunny,m,13
553,fitrat,m,6
554,pankaj saini,m,12
555,manish sehrawat,m,15
556,ravi chandra natarajan,m,22
557,karunakar dehra,m,15
558,somdath,m,7
559,shiva,m,5
560,rajeev jha,m,10
562,mukesh soni,m,11
563,ashok kharkwal,m,14
564,iswar sharan,m,12
565,maj koko khaing,m,15
566,manni manish,m,12
567,sonu,m,4
568,amrit patel,m,11
570,rajveer,m,7
571,rupesh rathor,m,13
572,dinesh singh rana,m,17
573,bhrat narayn,m,12
574,annu,m,4
575,ombir singh,m,11
576,anand,m,5
577,rajesh kumar,m,12
579,yameen,m,6
580,ravi singh,m,10
581,jitendra singh,m,14
582,iarfan mohammad,m,15
585,prateek kumar tiwari,m,20
586,birju,m,5
587,pradeep,m,7
588,raghubir singh,m,14
589,ayub khan,m,9
590,ram jatan,m,9
592,tufail,m,6
593,afridi,m,6
594,tahir,m,5
596,ravi,m,4
597,abhay,m,5
598,anuj tiwari,m,11
600,inderpal,m,8
602,sanjit misra,m,12
603,aasto,m,5
604,charan singh,m,12
607,ram chander jha,m,15
608,nirmal,m,6
609,niranjan,m,8
611,firakat ali,m,11
612,ashshwer parsad,m,15
613,akash,m,5
614,andhav,m,6
615,akhil kumar,m,11
616,ranbir,m,6
617,inderjeet mandal,m,16
618,sikandar,m,8
619,arjun singh,m,11
620,vishal mishra,m,13
621,dalip shah,m,10
622,mohd. jafruddin,m,15
623,satnosh,m,7
624,sohan lal,m,9
625,vinod kumar,m,11
626,aasish kumar,m,12
627,tavinder kumar,m,14
628,laxman,m,6
629,milan,m,5
631,sri kant,m,8
632,radheyshyam saini,m,17
634,damanjeet singh,m,15
636,bhushan sahay,m,13
637,ramesh kumar,m,12
638,samadh,m,6
639,malkeet singh,m,13
640,uma shankar,m,11
641,kamla prasad,m,12
648,pushpendra singh rathore,m,24
649,harpal singh,m,12
650,khimanand,m,9
651,manoj kumar age24 satesh kumar age 18,m,37
652,akshit,m,6
653,chandan kumar,m,13
654,vinay,m,5
657,vinay kumar upadhayay,m,21
658,shekher,m,7
659,abhishek yadav,m,14
660,manish khandelwal,m,17
661,bir singh,m,9
662,rajkumar saini so madan lal saini,m,33
663,mohd sajim,m,10
664,shankarlal so sukharam,m,22
665,neeraj kishore,m,14
666,ishwar,m,6
668,ravi parkash solanki,m,20
669,rohit kumar tiwari,m,18
671,manjeet kumar,m,13
672,vimal kumar,m,11
673,abbas mehndi,m,12
674,omprkash,m,8
675,deepak rathore,m,14
678,ajay ajju,m,9
679,toquir ali,m,10
681,sarthak dadwal,m,14
682,armaan suvalin,m,14
683,kunal kishore,m,13
684,nabav shekh,m,11
685,kasim ansari,m,12
687,subin sugathan,m,14
688,mayur agarwal,m,13
689,madan lal,m,9
691,ghansyam soni,m,13
692,ram dutt,m,8
693,sanjeev sharma,m,14
694,devender singh,m,14
695,asharam,m,7
696,son pal sonu kumar,m,18
697,badri prsad mishra,m,18
698,azad ali,m,8
699,jorj vargees,m,12
700,naresh adhikari,m,15
701,deepu,m,5
703,aashik,m,6
704,amit kumar verma,m,16
706,sugodh kumar,m,12
707,ashok,m,5
709,munender singh,m,14
710,krishan kumar,m,13
711,ashutosh deepak,m,15
712,saddam hussain,m,14
713,harender,m,8
715,mohd imran munna,m,16
716,shyam sunder,m,12
718,mangat singh,m,12
719,aryan prateek,m,13
720,rahul chauhan,m,13
721,savan,m,5
722,mohd siwam,m,10
723,aarif,m,5
724,rajender kumar,m,14
725,manish mukesh,m,13
726,ramesh singh negi,m,17
727,patikmonu,m,9
728,nand kishor,m,11
729,rajeev luka,m,11
730,sarad raghuvansi,m,16
731,ram prakash,m,11
733,liyakat ali,m,11
735,bodh raj kala,m,13
737,leela dhar narang,m,17
738,chanchal,m,8
740,shamshad,m,8
741,bittu paswan,m,12
742,shashank sharma,m,15
744,vipulander,m,10
745,abdul rahman,m,12
746,khuma ram,m,9
747,naresh chand pappu,m,18
748,komal kabila,m,12
750,deepak kumar mishra,m,19
751,piyush,m,6
752,lakhan,m,6
753,nadim,m,5
754,sahdab,m,6
755,tufel,m,5
756,tekchand,m,8
757,bobby,m,5
760,ravi shankar,m,12
762,pramood,m,7
763,dev,m,3
764,sureshtinku,m,11
766,om parkash,m,10
767,muntiyaj,m,8
768,chetan pandey,m,13
769,lilu,m,4
770,surjeet,m,7
771,sunder lal,m,10
772,aman bhatt,m,10
773,ratikant maghi,m,14
774,deva,m,4
775,firoz,m,5
776,dr. hema hari pago,m,18
778,dheeraj,m,7
779,sardar sarbjeet singh,m,21
780,raman sharma,m,12
784,ritik,m,5
785,ketan,m,5
786,angreg singh,m,12
787,sitaram bairwa,m,14
788,rampati,m,7
789,karan bajaj,m,11
792,lalit kumar,m,11
793,jockyipai,m,9
794,aslam ali,m,9
796,murli dhar,m,10
797,rehman khan,m,11
798,gurdarshan singh,m,16
800,shahrukh,m,8
801,krishan gopal,m,13
803,shanwaz anwar,m,13
804,samsuddin,m,9
805,jyoti prakash,m,13
806,sourav sumit,m,12
808,ravi rinkku,m,11
809,somender,m,8
810,sorabh,m,6
812,aabid,m,5
813,rajneesh kumar,m,14
814,shakil,m,6
815,ayan khan,m,9
816,rajesh naydu,m,12
817,lalit,m,5
819,abhinav vashishat,m,17
820,amil,m,4
821,sidharath,m,9
824,atul,m,4
826,amar singh mahar,m,16
829,sanny kumar,m,11
830,roshan,m,6
831,ashish aashu,m,12
832,jeeya lal,m,9
833,sachin kumal taneja,m,19
834,arjun yadav,m,11
835,ishant,m,6
836,ramesh malik,m,12
838,durganand,m,9
839,chandan,m,7
840,mohd parvez,m,11
842,vijay pal singh,m,15
843,ramkishan gupta,m,15
845,brijmohan,m,9
846,dheeraj montu,m,13
847,tajuddin,m,8
848,mannu yadav,m,11
849,dheeraj montu,m,13
850,suhail,m,6
851,shakti singh,m,12
852,haider ali,m,10
853,sok. mohmad,m,11
854,pandit ram niwas,m,16
855,baksi,m,5
856,banwari lal bairwa,m,18
857,suresh paswan madari,m,20
858,krishan lal gulyani,m,19
860,man singh,m,9
861,uday partap,m,11
862,rakesh kumar,m,12
863,kanhaiya lal,m,12
864,kripal singh,m,12
865,ram naresh yadav,m,16
866,nand kishore,m,12
867,kaif,m,4
868,shyam,m,5
869,arsh,m,4
870,chirag,m,6
871,prince,m,6
872,tarif,m,5
873,lalan devi,m,10
874,ali sher,m,8
875,sheru khan,m,10
876,bhanu pratap singh,m,18
878,vanish khan,m,11
879,firoj,m,5
880,ram narayan meena,m,17
881,krishan kishan,m,14
882,smt sunita,m,10
883,ranjeet,m,7
884,traun kumar,m,11
885,lokesh varma,m,12
886,sushil kumar,m,12
888,ram suresh babloo,m,17
889,prem giri pradhan ji,m,20
891,shabuddin shah,m,14
892,surender singh,m,14
894,rakesh bhatia,m,13
896,surgayan kanwar,m,15
897,rinki,m,5
898,akram,m,5
899,khemraj,m,7
903,krishan kishore,m,15
904,jatin kumar jeetu,m,17
905,shubham chauhan,m,15
906,chaterpal banti,m,15
907,pankaj baisla,m,13
908,vijay sharma khada chand,m,24
909,shaukat khan,m,12
910,deepak bholu,m,12
911,arman,m,5
912,jay dev jha,m,11
913,mo. aasif,m,9
914,lekhraj,m,7
915,aayush,m,6
916,punit kumar ankur m.no.7404660980 9813186044.,m,45
917,ajeet kumar,m,11
918,lok nath,m,8
920,rajaram,m,7
921,ranjit,m,6
924,dheeraj kumar,m,13
925,deepak upadhayaya,m,17
926,shail,m,5
927,naresh,m,6
930,kalu luhar,m,10
932,lekhraj pahuja,m,14
933,tara dutt suyal,m,15
934,gaurav raj,m,10
936,rahul parikh,m,12
938,swapanesh gupta,m,15
940,shankar lal,m,11
941,kumari ritu,m,11
942,manjiv singh,m,12
943,kamruddin,m,9
944,jaiprakash,m,10
945,mukesh kumar,m,12
946,aditya kumar,m,12
947,anurag,m,6
948,vijay pal,m,9
950,raju rathor,m,11
951,laksh dipanshu,m,14
952,sanjay mandal,m,13
954,jagmal,m,6
956,radhey shyam verma,m,18
957,chandra dhar pande,m,18
958,mahender lal,m,12
959,abdul salam,m,11
960,prasant,m,7
962,balwant ray arora,m,17
963,rahul roy,m,9
964,prahlad,m,7
965,vipendra singh so mahendra singh,m,32
966,mujaffar so musarraf,m,20
967,sharukh,m,7
968,ravinder singh rana,m,19
970,danish,m,6
972,inderjeet kumar,m,15
974,bandu khan,m,10
975,sudhir m.no.8295508258.,m,23
976,dhrmveer singh,m,14
977,saurabh monu,m,12
978,aditya kasana,m,13
979,adi,m,3
980,sunil singh,m,11
981,sachin chauhan,m,14
982,aakashmultan,m,12
984,sunil kumar singh,m,17
985,sagar pahwa,m,11
986,balbir singh,m,12
987,bijender billu,m,14
988,yogesh shukla,m,13
989,mithlesh sharma,m,15
991,divansh,m,7
992,muneer,m,6
993,yogesh kumar,m,12
994,dhalchand,m,9
995,bishan ram,m,10
996,ramesh chander gupta,m,20
997,paras,m,5
998,farmaan aamin,m,13
999,ganesh singh,m,12
1000,chanden,m,7
1002,sandeep kumar sharma,m,20
1003,deepak kumar,m,12
1004,aakash sani,m,11
1005,virender bhatia,m,15
1006,roshan kumar,m,12
1007,suraj manda,m,11
1008,nirmal yadav,m,12
1009,aarif khanbablu,m,15
1011,chandrram,m,9
1013,ansh,m,4
1014,ram subhak,m,10
1016,sohaib,m,6
1017,krishana,m,8
1019,sonali,m,6
1020,satyam,m,6
1021,viney parkash,m,13
1023,prem pal,m,8
1024,dhramender,m,10
1026,rakesh panday,m,13
1028,murari lal maharaj,m,18
1030,sartaj ali,m,10
1032,jabir hussain,m,13
1033,shiv singh,m,10
1034,harvinder singh sandhu,m,22
1036,mh. yameen,m,10
1037,sajjan,m,6
1038,prhalad kumar,m,13
1039,jatin,m,5
1040,partik munchal,m,14
1041,kapil,m,5
1042,sumit rathi,m,11
1044,manoj jain,m,10
1045,salin malhotra,m,14
1046,raj golu,m,8
1047,shayam sunder,m,13
1048,vinod tiwari,m,12
1050,daya ram,m,8
1051,sameem,m,6
1052,chetanram,m,9
1053,ajman,m,5
1054,puspak kandpal,m,14
1055,desh deepak pandey,m,18
1056,shisupal,m,8
1057,vikarm,m,6
1059,shyamveer,m,9
1060,balwant singh,m,13
1061,paul nepal,m,10
1062,ramchander,m,10
1063,harkesh,m,7
1065,anup kumar misgra,m,17
1067,randhir ram,m,11
1068,shashikant,m,10
1069,aadil sefi,m,10
1071,jai bhagwan,m,11
1072,rajaram nayak,m,13
1073,smt. pooja,m,10
1074,vijay kukreja,m,13
1075,shyam narain pande,m,18
1077,mohhmad shahil ragraj,m,21
1078,bablu singh,m,11
1079,pancu,m,5
1080,ramtek,m,6
1081,monuarun,m,8
1082,gauri visht,m,11
1083,punarjyoti lahiri,m,17
1084,parteek,m,7
1085,hansraj,m,7
1086,deepak deepu,m,12
1087,radha raman,m,11
1089,babu,m,4
1091,ameen,m,5
1092,sanjiv pathak,m,13
1093,pardeep,m,7
1094,nizamuddin monu,m,15
1096,rahul paswan,m,12
1097,suman,m,5
1099,manish maheshwari,m,17
1100,mahaveer,m,8
1101,yash,m,4
1102,nand lal meena,m,14
1103,rani ranjan golu,m,16
1104,shayam,m,6
1105,mahipal,m,7
1106,ramprasad,m,9
1107,rohit ahlawat,m,13
1108,asif,m,4
1109,surender kumar singh,m,20
1110,sachin verma,m,12
1112,rajesh,m,6
1113,zakir hussain,m,13
1115,deepak maan,m,11
1116,suwadhin shriwastava,m,20
1117,arif,m,4
1118,noorjama tukun,m,14
1119,mohd israr,m,10
1121,neeraj chauhan,m,14
1122,raviraj so mahaveer singh,m,25
1123,inder singh sawant,m,18
1124,shoab jamal,m,11
1128,sone lal bhanderi,m,17
1130,chatan,m,6
1131,mohd jahid,m,10
1132,deepchand,m,9
1135,deep chand,m,10
1136,mohd sarfraj,m,12
1137,surender kumar,m,14
1138,aoosaf,m,6
1139,abrar,m,5
1140,mohd. shahdab,m,13
1142,tanveer malik,m,13
1143,ratiman,m,7
1144,devender sonu,m,13
1145,mul chand kumawat,m,17
1146,ram milan,m,9
1147,arvind kumar,m,12
1148,sanjeev kaku,m,12
1149,jasbir,m,6
1150,sanjeev gautam,m,14
1151,jasbir singh,m,12
1153,shyamlal,m,8
1154,nashim,m,6
1155,phooleshwar yadav babu lal,m,26
1156,ramesh singh,m,12
1157,aatif,m,5
1158,jahid,m,5
1160,amit sharma,m,11
1161,ankit kumar,m,11
1162,mho najim,m,9
1163,ridhakaran sharma,m,17
1164,babulal yadav,m,13
1165,pavan,m,5
1166,jabbar singh,m,12
1167,rinku,m,5
1168,mohd ayub,m,9
1169,yogesh kumar dhunna,m,19
1171,ram chander,m,11
1173,vijay pappu,m,11
1174,sheikhsai ful,m,13
1175,shagufta,m,8
1177,harendra,m,8
1179,shambhu,m,7
1180,shripal,m,7
1181,ram babu,m,8
1182,rada sharn,m,10
1184,mahendra,m,8
1185,raghunandan pawar,m,17
1186,shivyalam,m,9
1187,anil sharma,m,11
1188,dharmandra,m,10
1189,surya narayan mukhiya,m,21
1190,rajiv,m,5
1191,hrithik,m,7
1192,pooja,m,5
1193,shashank,m,8
1194,surjeet singh,m,13
1195,suraj paswan,m,12
1196,mohit chouhan,m,13
1197,vishal bittu,m,12
1198,akbar,m,5
1199,lal singh,m,9
1200,sehzad,m,6
1201,tushar bhaskar,m,14
1202,md. samim,m,9
1203,mohd ushama,m,11
1204,pushkar koshik,m,14
1205,ahsan,m,5
1207,mohd sajad ali,m,14
1208,aftab,m,5
1209,arun yadav,m,10
1212,kundan raj,m,10
1213,anand singh,m,11
1214,faijal,m,6
1215,rajesh metho,m,12
1216,banarsi das,m,11
1217,utkarsh jha,m,11
1219,noor hasan,m,10
1220,bablu khan,m,10
1221,subhas,m,6
1222,kavilash,m,8
1223,mukesh agarwal,m,14
1224,tahir mohmaddi,m,14
1225,sarvan kumar,m,12
1226,mamta,m,5
1227,vijay bansal,m,12
1229,lalaram,m,7
1230,ram suresh,m,10
1232,ashutosh seth,m,13
1233,mamchand,m,8
1234,barkat tulla,m,12
1235,manful,m,6
1236,rakesh singh,m,12
1237,rajendar singh,m,14
1238,satbar,m,6
1239,arvind milla,m,12
1240,bobi khan,m,9
1241,kunal,m,5
1242,ajay gupta,m,10
1243,mohd farman,m,11
1246,pardeep mohauti,m,15
1248,anshul,m,6
1250,manish kumar sharma,m,19
1251,kalu,m,4
1252,anjali,m,6
1253,manoj radhe krishan,m,19
1254,kunal mayank,m,12
1255,saroj devi,m,10
1256,birij kisor,m,11
1257,dinesh sharma,m,13
1259,love manjhi,m,11
1260,rajeev sharma,m,13
1262,omprakash,m,9
1263,taushif,m,7
1264,naresh naneha,m,13
1265,leo paul,m,8
1266,farid khan,m,10
1268,rahish ahmad,m,12
1269,deshraj,m,7
1270,shibu,m,5
1271,mukesh aarya,m,12
1272,shamim,m,6
1274,vijay sharma,m,12
1275,amarjeet singh,m,14
1276,aryan shrma,m,11
1277,mohd salman,m,11
1278,radhey shyam,m,12
1281,pintu,m,5
1282,dheeraj meena,m,13
1284,unkar meena,m,11
1285,vikram singh rajpoot,m,20
1286,girish chandra,m,14
1288,ramesh upreti,m,13
1291,bhupesh sharma,m,14
1293,munesh sharma,m,13
1294,gopi singh,m,10
1295,aadil,m,5
1296,fulmiya,m,7
1297,chander prakash,m,15
1298,balram,m,6
1299,shib lal singh,m,14
1300,shayam lal,m,10
1301,vinay binu,m,10
1303,chander prakash banta,m,21
1304,manish goyal,m,12
1305,nanhe khan,m,10
1308,raseel,m,6
1309,kushal sharma,m,13
1310,mr. mohammad sahed,m,18
1311,lalit golu,m,10
1312,bijendra kumar,m,14
1313,bhagwan dass,m,12
1314,bhajanlal,m,9
1315,chran singh,m,11
1318,azam,m,4
1319,bharma,m,6
1321,gyanendra,m,9
1322,shivam jain,m,11
1323,javed,m,5
1324,inder kumar,m,11
1325,suman mali sumit,m,16
1326,gulreg,m,6
1327,jahagir khan,m,12
1328,sumer,m,5
1329,udaiveer,m,8
1330,ravindera tiwari,m,16
1331,sabbir alam,m,11
1332,shahid alam,m,11
1335,amit garg aamin jon,m,19
1336,santosh kumar,m,13
1337,satpal singh,m,12
1338,sant mishra,m,11
1339,salim,m,5
1340,gaurav chhabra,m,14
1341,manpreet singh,m,14
1343,hari mohan gurjar,m,17
1344,sh. amar singh,m,14
1346,rahul jain,m,10
1347,jiya lal,m,8
1348,akshpaat,m,8
1349,dilip kumar tanwar,m,18
1350,ajit kumar parsad,m,17
1351,abhash lochan jha,m,17
1352,moh. aazad,m,10
1353,akshay,m,6
1354,yogeshwar,m,9
1355,yasar ali,m,9
1356,roshan lal,m,10
1357,lamani khedu,m,12
1358,jeeshan khan,m,12
1359,ved prakash,m,11
1360,deepak kapoor,m,13
1361,jeetu,m,5
1362,mohd. sultan,m,12
1363,banwari lal,m,11
1364,vidit kumar,m,11
1368,satyvrat,m,8
1369,versha,m,6
1370,kumar,m,5
1371,punit,m,5
1372,shekh malik,m,11
1373,shri ram narayan dass,m,21
1375,shah mohd,m,9
